AGE_GROUP,YEAR_DIAG,n,sex,POB_STANDAR,POB
12,2008,6,1,4000,3545
13,2008,10,1,4000,2126
14,2008,8,1,3000,1388
15,2008,9,1,2000,938
16,2008,8,1,1000,680
17,2008,6,1,1000,572
1,2009,0,1,12000,7032
2,2009,0,1,10000,6605
3,2009,0,1,9000,7004
4,2009,0,1,9000,7099
5,2009,1,1,8000,6093
6,2009,0,1,8000,6466
7,2009,0,1,6000,6789
8,2009,1,1,6000,6438
9,2009,2,1,6000,5508
10,2009,3,1,6000,5367
11,2009,1,1,5000,4787
12,2009,6,1,4000,3774
13,2009,13,1,4000,2253
14,2009,7,1,3000,1446
15,2009,4,1,2000,970
16,2009,6,1,1000,674
17,2009,8,1,1000,617
1,2010,0,1,12000,7223
2,2010,0,1,10000,6516
3,2010,0,1,9000,6870
4,2010,0,1,9000,7070
5,2010,0,1,8000,6245
6,2010,0,1,8000,6512
7,2010,0,1,6000,6762
8,2010,0,1,6000,6622
9,2010,1,1,6000,5539
10,2010,3,1,6000,5421
11,2010,3,1,5000,4847
12,2010,5,1,4000,3975
13,2010,10,1,4000,2407
14,2010,4,1,3000,1507
15,2010,9,1,2000,1009
16,2010,4,1,1000,669
17,2010,5,1,1000,659
1,2011,0,1,12000,7386
2,2011,0,1,10000,6449
3,2011,0,1,9000,6752
4,2011,0,1,9000,7010
5,2011,0,1,8000,6415
6,2011,0,1,8000,6566
7,2011,0,1,6000,6760
8,2011,0,1,6000,6768
9,2011,0,1,6000,5632
10,2011,3,1,6000,5425
11,2011,7,1,5000,4930
12,2011,4,1,4000,4124
13,2011,3,1,4000,2602
14,2011,10,1,3000,1579
15,2011,7,1,2000,1052
16,2011,5,1,1000,664
17,2011,5,1,1000,697
1,2012,0,1,12000,7450
2,2012,0,1,10000,6457
3,2012,0,1,9000,6646
4,2012,0,1,9000,6931
5,2012,0,1,8000,6555
6,2012,0,1,8000,6645
7,2012,0,1,6000,6793
8,2012,0,1,6000,6869
9,2012,0,1,6000,5768
10,2012,5,1,6000,5392
11,2012,8,1,5000,5029
12,2012,6,1,4000,4235
13,2012,2,1,4000,2806
14,2012,3,1,3000,1677
15,2012,6,1,2000,1088
16,2012,6,1,1000,667
17,2012,13,1,1000,729
1,2013,0,1,12000,7465
2,2013,0,1,10000,6514
3,2013,0,1,9000,6546
4,2013,0,1,9000,6833
5,2013,0,1,8000,6652
6,2013,0,1,8000,6801
7,2013,0,1,6000,6878
8,2013,1,1,6000,6934
9,2013,0,1,6000,5942
10,2013,2,1,6000,5353
11,2013,8,1,5000,5143
12,2013,6,1,4000,4303
13,2013,6,1,4000,3016
14,2013,8,1,3000,1779
15,2013,9,1,2000,1127
16,2013,5,1,1000,681
17,2013,4,1,1000,753
1,2014,0,1,12000,7442
2,2014,0,1,10000,6624
3,2014,0,1,9000,6446
4,2014,0,1,9000,6726
5,2014,0,1,8000,6728
6,2014,0,1,8000,7028
7,2014,1,1,6000,7005
8,2014,0,1,6000,6960
9,2014,0,1,6000,6151
10,2014,7,1,6000,5343
11,2014,8,1,5000,5244
12,2014,4,1,4000,4359
13,2014,8,1,4000,3229
14,2014,11,1,3000,1887
15,2014,6,1,2000,1173
16,2014,7,1,1000,696
17,2014,11,1,1000,773
1,2015,0,1,12000,7416
2,2015,0,1,10000,6755
3,2015,0,1,9000,6363
4,2015,0,1,9000,6617
5,2015,0,1,8000,6727
6,2015,0,1,8000,7257
7,2015,0,1,6000,7107
8,2015,0,1,6000,6969
9,2015,0,1,6000,6334
10,2015,1,1,6000,5376
11,2015,7,1,5000,5306
12,2015,8,1,4000,4409
13,2015,7,1,4000,3415
14,2015,4,1,3000,2020
15,2015,5,1,2000,1222
16,2015,2,1,1000,719
17,2015,7,1,1000,789
1,2003,0,2,12000,6962
2,2003,0,2,10000,7102
3,2003,0,2,9000,7256
4,2003,0,2,9000,5988
5,2003,0,2,8000,5270
6,2003,0,2,8000,6115
7,2003,0,2,6000,5644
8,2003,1,2,6000,5442
9,2003,1,2,6000,5251
10,2003,0,2,6000,4576
11,2003,0,2,5000,3527
12,2003,2,2,4000,2435
13,2003,2,2,4000,1704
14,2003,2,2,3000,1262
15,2003,5,2,2000,1026
16,2003,1,2,1000,674
17,2003,1,2,1000,573
1,2004,0,2,12000,6878
2,2004,0,2,10000,6975
3,2004,0,2,9000,7294
4,2004,0,2,9000,6129
5,2004,0,2,8000,5297
6,2004,0,2,8000,6091
7,2004,0,2,6000,5855
8,2004,0,2,6000,5393
9,2004,1,2,6000,5339
10,2004,0,2,6000,4645
11,2004,2,2,5000,3766
12,2004,1,2,4000,2551
13,2004,1,2,4000,1771
14,2004,6,2,3000,1308
15,2004,9,2,2000,1039
16,2004,3,2,1000,736
17,2004,4,2,1000,624
1,2005,0,2,12000,6799
2,2005,0,2,10000,6854
3,2005,0,2,9000,7266
4,2005,0,2,9000,6305
5,2005,0,2,8000,5325
6,2005,0,2,8000,6050
7,2005,0,2,6000,6050
