AGE_GROUP,YEAR_DIAG,n,sex,POB_STANDAR,POB
13,2004,24,1,4000,6827
14,2004,22,1,3000,4990
15,2004,16,1,2000,3916
16,2004,11,1,1000,2632
17,2004,8,1,1000,1737
1,2005,0,1,12000,22564
2,2005,0,1,10000,23472
3,2005,0,1,9000,24747
4,2005,0,1,9000,23685
5,2005,0,1,8000,22932
6,2005,1,1,8000,23442
7,2005,0,1,6000,22815
8,2005,0,1,6000,19793
9,2005,4,1,6000,19634
10,2005,4,1,6000,17548
11,2005,16,1,5000,15166
12,2005,20,1,4000,10302
13,2005,20,1,4000,7074
14,2005,18,1,3000,5129
15,2005,20,1,2000,3863
16,2005,11,1,1000,2773
17,2005,6,1,1000,1870
1,2006,0,1,12000,22500
2,2006,0,1,10000,23179
3,2006,0,1,9000,24576
4,2006,0,1,9000,24323
5,2006,0,1,8000,23088
6,2006,0,1,8000,23455
7,2006,1,1,6000,23379
8,2006,1,1,6000,20197
9,2006,3,1,6000,19708
10,2006,3,1,6000,17869
11,2006,12,1,5000,15741
12,2006,14,1,4000,11047
13,2006,20,1,4000,7364
14,2006,27,1,3000,5283
15,2006,19,1,2000,3823
16,2006,17,1,1000,2862
17,2006,20,1,1000,2026
1,2007,0,1,12000,22690
2,2007,0,1,10000,22927
3,2007,0,1,9000,24319
4,2007,0,1,9000,24817
5,2007,0,1,8000,23318
6,2007,0,1,8000,23585
7,2007,0,1,6000,23787
8,2007,0,1,6000,20752
9,2007,5,1,6000,19650
10,2007,11,1,6000,18260
11,2007,6,1,5000,16181
12,2007,18,1,4000,11831
13,2007,34,1,4000,7743
14,2007,26,1,3000,5427
15,2007,15,1,2000,3822
16,2007,7,1,1000,2906
17,2007,19,1,1000,2198
1,2008,0,1,12000,23081
2,2008,0,1,10000,22717
3,2008,0,1,9000,24016
4,2008,0,1,9000,25105
5,2008,0,1,8000,23703
6,2008,0,1,8000,23805
7,2008,0,1,6000,24001
8,2008,0,1,6000,21439
9,2008,0,1,6000,19563
10,2008,4,1,6000,18702
11,2008,7,1,5000,16470
12,2008,14,1,4000,12646
13,2008,11,1,4000,8172
14,2008,22,1,3000,5570
15,2008,21,1,2000,3869
16,2008,14,1,1000,2905
17,2008,13,1,1000,2382
1,2009,0,1,12000,23619
2,2009,0,1,10000,22482
3,2009,0,1,9000,23638
4,2009,0,1,9000,25227
5,2009,0,1,8000,24216
6,2009,0,1,8000,24038
7,2009,0,1,6000,24012
8,2009,1,1,6000,22208
9,2009,2,1,6000,19564
10,2009,0,1,6000,19085
11,2009,4,1,5000,16695
12,2009,18,1,4000,13461
13,2009,24,1,4000,8604
14,2009,16,1,3000,5740
15,2009,15,1,2000,3947
16,2009,16,1,1000,2876
17,2009,24,1,1000,2564
1,2010,0,1,12000,24290
2,2010,0,1,10000,22286
3,2010,0,1,9000,23258
4,2010,0,1,9000,25148
5,2010,0,1,8000,24856
6,2010,0,1,8000,24254
7,2010,0,1,6000,23975
8,2010,0,1,6000,22890
9,2010,0,1,6000,19716
10,2010,2,1,6000,19323
11,2010,10,1,5000,16910
12,2010,11,1,4000,14175
13,2010,21,1,4000,9145
14,2010,27,1,3000,5931
15,2010,19,1,2000,4055
16,2010,14,1,1000,2841
17,2010,14,1,1000,2735
1,2011,0,1,12000,24876
2,2011,0,1,10000,22164
3,2011,0,1,9000,22934
4,2011,0,1,9000,24966
5,2011,0,1,8000,25557
