AGE_GROUP,YEAR_DIAG,n,sex,POB_STANDAR,POB
13,2010,5,2,4000,525
14,2010,2,2,3000,410
15,2010,0,2,2000,343
16,2010,3,2,1000,263
17,2010,6,2,1000,337
1,2011,0,2,12000,1118
2,2011,0,2,10000,1019
3,2011,0,2,9000,1076
4,2011,0,2,9000,1028
5,2011,0,2,8000,824
6,2011,0,2,8000,898
7,2011,0,2,6000,909
8,2011,1,2,6000,872
9,2011,0,2,6000,753
10,2011,0,2,6000,823
11,2011,3,2,5000,766
12,2011,1,2,4000,722
13,2011,1,2,4000,556
14,2011,4,2,3000,416
15,2011,6,2,2000,345
16,2011,5,2,1000,257
17,2011,6,2,1000,353
1,2012,0,2,12000,1128
2,2012,0,2,10000,1027
3,2012,0,2,9000,1050
4,2012,0,2,9000,1005
5,2012,0,2,8000,839
6,2012,0,2,8000,915
7,2012,0,2,6000,907
8,2012,0,2,6000,876
9,2012,1,2,6000,762
10,2012,1,2,6000,804
11,2012,1,2,5000,776
12,2012,4,2,4000,735
13,2012,1,2,4000,587
14,2012,1,2,3000,428
15,2012,7,2,2000,349
16,2012,6,2,1000,254
17,2012,4,2,1000,367
1,2013,0,2,12000,1135
2,2013,0,2,10000,1044
3,2013,0,2,9000,1024
4,2013,0,2,9000,983
5,2013,0,2,8000,852
6,2013,0,2,8000,945
7,2013,0,2,6000,913
8,2013,0,2,6000,875
9,2013,0,2,6000,779
10,2013,0,2,6000,786
11,2013,1,2,5000,784
12,2013,1,2,4000,744
13,2013,1,2,4000,619
14,2013,2,2,3000,441
15,2013,1,2,2000,352
16,2013,3,2,1000,254
17,2013,3,2,1000,378
1,2014,0,2,12000,1134
2,2014,0,2,10000,1069
3,2014,0,2,9000,1001
4,2014,0,2,9000,959
5,2014,0,2,8000,861
6,2014,1,2,8000,988
7,2014,0,2,6000,925
8,2014,0,2,6000,868
9,2014,0,2,6000,799
10,2014,0,2,6000,773
11,2014,2,2,5000,794
12,2014,3,2,4000,748
13,2014,5,2,4000,656
14,2014,2,2,3000,455
15,2014,3,2,2000,356
16,2014,6,2,1000,257
17,2014,6,2,1000,387
1,2015,0,2,12000,1132
2,2015,0,2,10000,1096
3,2015,0,2,9000,976
4,2015,0,2,9000,936
5,2015,0,2,8000,859
6,2015,0,2,8000,1032
7,2015,0,2,6000,933
8,2015,0,2,6000,859
9,2015,0,2,6000,818
10,2015,2,2,6000,769
11,2015,3,2,5000,798
12,2015,3,2,4000,757
13,2015,7,2,4000,687
14,2015,0,2,3000,472
15,2015,4,2,2000,358
16,2015,4,2,1000,259
17,2015,6,2,1000,395
