AGE_GROUP,YEAR_DIAG,n,sex,POB_STANDAR,POB
16,2010,14,1,1000,1769
17,2010,14,1,1000,1702
1,2011,0,1,12000,14649
2,2011,0,1,10000,13072
3,2011,0,1,9000,13417
4,2011,0,1,9000,15433
5,2011,0,1,8000,16793
6,2011,0,1,8000,15272
7,2011,0,1,6000,14571
8,2011,0,1,6000,13956
9,2011,0,1,6000,12143
10,2011,5,1,6000,11565
11,2011,8,1,5000,10069
12,2011,15,1,4000,8647
13,2011,26,1,4000,5888
14,2011,22,1,3000,3749
15,2011,22,1,2000,2567
16,2011,15,1,1000,1748
17,2011,15,1,1000,1794
1,2012,0,1,12000,14806
2,2012,0,1,10000,13185
3,2012,0,1,9000,13293
4,2012,0,1,9000,15303
5,2012,0,1,8000,17191
6,2012,0,1,8000,15493
7,2012,1,1,6000,14694
8,2012,1,1,6000,14232
9,2012,2,1,6000,12504
10,2012,1,1,6000,11551
11,2012,4,1,5000,10287
12,2012,10,1,4000,8889
13,2012,25,1,4000,6310
14,2012,26,1,3000,3930
15,2012,15,1,2000,2623
16,2012,14,1,1000,1746
17,2012,13,1,1000,1871
1,2013,0,1,12000,14869
2,2013,0,1,10000,13410
3,2013,0,1,9000,13178
4,2013,0,1,9000,15136
5,2013,0,1,8000,17476
6,2013,0,1,8000,15898
7,2013,1,1,6000,14935
8,2013,0,1,6000,14425
9,2013,0,1,6000,12944
10,2013,1,1,6000,11514
11,2013,5,1,5000,10534
12,2013,12,1,4000,9044
13,2013,34,1,4000,6744
14,2013,28,1,3000,4141
15,2013,15,1,2000,2680
16,2013,18,1,1000,1767
17,2013,12,1,1000,1928
1,2014,0,1,12000,14858
2,2014,0,1,10000,13728
3,2014,0,1,9000,13067
4,2014,0,1,9000,14945
5,2014,0,1,8000,17707
6,2014,0,1,8000,16476
7,2014,0,1,6000,15266
8,2014,0,1,6000,14544
9,2014,0,1,6000,13470
10,2014,3,1,6000,11556
11,2014,1,1,5000,10753
12,2014,5,1,4000,9167
13,2014,25,1,4000,7181
14,2014,31,1,3000,4347
15,2014,19,1,2000,2758
16,2014,16,1,1000,1805
17,2014,16,1,1000,1974
1,2015,0,1,12000,14840
2,2015,0,1,10000,14122
3,2015,0,1,9000,12996
4,2015,0,1,9000,14745
5,2015,0,1,8000,17742
6,2015,0,1,8000,17058
7,2015,0,1,6000,15538
8,2015,0,1,6000,14631
9,2015,2,1,6000,13941
10,2015,3,1,6000,11680
11,2015,3,1,5000,10890
12,2015,13,1,4000,9282
13,2015,18,1,4000,7566
14,2015,18,1,3000,4620
15,2015,27,1,2000,2841
16,2015,16,1,1000,1859
17,2015,15,1,1000,2011
1,2003,0,2,12000,12344
2,2003,0,2,10000,13463
3,2003,0,2,9000,13637
4,2003,2,2,9000,12731
5,2003,0,2,8000,13203
6,2003,1,2,8000,12961
7,2003,1,2,6000,11398
8,2003,1,2,6000,10437
9,2003,4,2,6000,10527
10,2003,3,2,6000,9476
11,2003,2,2,5000,7836
12,2003,2,2,4000,5641
13,2003,3,2,4000,4604
14,2003,6,2,3000,3800
15,2003,8,2,2000,3534
16,2003,4,2,1000,2579
17,2003,5,2,1000,2122
1,2004,0,2,12000,12321
2,2004,0,2,10000,13290
3,2004,0,2,9000,13766
4,2004,0,2,9000,13089
5,2004,0,2,8000,13361
6,2004,0,2,8000,12991
7,2004,0,2,6000,11844
8,2004,0,2,6000,10424
9,2004,1,2,6000,10762
10,2004,4,2,6000,9667
